"location","plot","exc.trt","gird.trt","row","X..Cnpy.Open","X..Trans.Dir","X..Trans.Dif","X..Trans.Tot"
"C1-A","C1","0","O","C",15.25,17.46,24.34,20.9
"C1-B","C1","0","O","C",23.33,49.24,31.57,40.41
"C1-C","C1","0","O","C",16.36,30.98,26.18,28.58
"C1-D","C1","0","O","C",28.06,40.18,33.31,36.74
"C1X-A","C1","1","O","C",17.27,48.46,26.97,37.72
"C1X-B","C1","1","O","C",20.79,52.89,30.17,41.53
"C1X-C","C1","1","O","C",18.96,44.29,27.58,35.94
"C1X-D","C1","1","O","C",15.98,43.81,25.39,34.6
"C2-A","C2","0","C","C",16.99,31.88,23.64,27.76
"C2-B","C2","0","C","C",15.82,40.87,24.78,32.83
"C2-C","C2","0","C","C",13.86,32.52,23.33,27.92
"C2-D","C2","0","C","C",10.17,22.27,15.48,18.88
"C2X-A","C2","1","C","C",13.07,24.37,20.15,22.26
"C2X-B","C2","1","C","C",11.96,32.37,18.51,25.44
"C2X-C","C2","1","C","C",13.33,36.42,20.24,28.33
"C2X-D","C2","1","C","C",12.65,29.35,19.65,24.5
"C3-A","C3","0","O50","C",11.88,31.13,18.47,24.8
"C3-B","C3","0","O50","C",12.89,22.95,20.76,21.85
"C3-C","C3","0","O50","C",12.79,26.94,17.98,22.46
"C3-D","C3","0","O50","C",11.48,24.85,17.31,21.08
"C3X-A","C3","1","O50","C",10.69,27.09,16.72,21.91
"C3X-B","C3","1","O50","C",9.13,30.17,14.36,22.27
"C3X-C","C3","1","O50","C",10.96,24.62,17.61,21.11
"C3X-D","C3","1","O50","C",11.91,25.43,18.74,22.09
"C4-A","C4","0","N","C",14.71,28.21,23.14,25.67
"C4-B","C4","0","N","C",14.75,22.87,23.59,23.23
"C4-C","C4","0","N","C",14.88,31.49,23.46,27.47
"C4-D","C4","0","N","C",13.33,34.59,19.1,26.84
"C4X-A","C4","1","N","C",7.39,17.28,11.89,14.58
"C4X-B","C4","1","N","C",8.71,18.74,14.28,16.51
"C4X-C","C4","1","N","C",15.41,37.11,24.57,30.84
"C4X-D","C4","1","N","C",16.13,41.94,25.57,33.75
"B4-A","B4","0","C","B",11.35,18.6,17.52,18.06
"B4-B","B4","0","C","B",12.32,29.22,17.73,23.48
"B4-C","B4","0","C","B",12.21,29.04,18.44,23.74
"B4-C","B4","0","C","B",13.25,24.08,20.06,22.07
"B4X-A","B4","1","C","B",13.45,32.54,21.23,26.89
"B4X-B","B4","1","C","B",13.19,36.12,20.38,28.25
"B4X-C","B4","1","C","B",12.82,24.27,19.43,21.85
"B4X-D","B4","1","C","B",12.86,25.75,19.91,22.83
"A4-A","A4","0","O","A",9.21,21.05,12.95,17
"A4-B","A4","0","O","A",10.77,19.56,13.34,16.45
"A4-C","A4","0","O","A",13.14,20.71,21.73,21.22
"A4X-B","A4","1","O","A",10.6,25.9,16.26,21.08
"A4X-A","A4","1","O","A",10.74,27.06,15.79,21.43
"A4X-C","A4","1","O","A",11.61,25.89,17.63,21.76
"A4X-A","A4","1","O","A",9.99,30.79,15.46,23.13
"A4-D","A4","0","O","A",10.12,28.67,15.22,21.95
"A3-A","A3","0","C","A",10.41,17.51,13.53,15.52
"A3-B","A3","0","C","A",11.8,23.31,15.67,19.49
"A3-C","A3","0","C","A",10.85,9.83,16.02,12.92
"A3-D","A3","0","C","A",11.44,18.79,16.33,17.56
"A3X-A","A3","1","C","A",14.8,36.38,22.1,29.24
"A3X-B","A3","1","C","A",13.24,28.87,20.28,24.58
"A3X-D","A3","1","C","A",13.77,24.56,20.93,22.74
"A3X-C","A3","1","C","A",11.46,20.74,17.68,19.21
"A1-A","A1","0","N","A",12.82,37.5,20.25,28.88
"A1-B","A1","0","N","A",12.25,43.56,20.95,32.26
"A1-C","A1","0","N","A",9.34,15.57,13.65,14.61
"A1-D","A1","0","N","A",12.4,29,19.11,24.05
"A1X-A","A1","1","N","A",6.86,15.44,10.46,12.95
"A1X-B","A1","1","N","A",9.3,22.36,14.15,18.26
"A1X-C","A1","1","N","A",3.54,5.62,5.43,5.52
"A1X-D","A1","1","N","A",3.37,7.08,4.98,6.03
"A2-A","A2","0","O50","A",8.79,9.55,13.9,11.72
"A2-B","A2","0","O50","A",6.97,12.45,9.79,11.12
"A2-C","A2","0","O50","A",9.71,27.96,14.93,21.45
"A2-D","A2","0","O50","A",10.21,12.24,16.11,14.18
"A2X-A","A2","1","O50","A",10.18,9.37,16.56,12.97
"A2X-B","A2","1","O50","A",8.16,15.95,13.19,14.57
"A2X-C","A2","1","O50","A",9.47,17.55,16.32,16.94
"A2X-D","A2","1","O50","A",9.83,24.36,17.23,20.8
"B3-A","B3","0","N","B",8.64,17.23,12.71,14.97
"B3-B","B3","0","N","B",10.78,29.21,16.32,22.77
"B3-D","B3","0","N","B",11.6,22.59,17.14,19.87
"B3X-A","B3","1","N","B",14.11,32.97,22.16,27.56
"B3X-B","B3","1","N","B",13.99,37.31,20.96,29.14
"B3X-D","B3","1","N","B",13.63,31.68,19.86,25.77
"B2-A","B2","0","O","B",11.9,13.9,20.1,17
"B2-B","B2","0","O","B",10.16,19.03,15.02,17.02
"B2-C","B2","0","O","B",9.49,19.16,14.67,16.92
"B2-D","B2","0","O","B",10.82,22.32,16.19,19.26
"B2X-A","B2","1","O","B",9.33,13.24,15.31,14.27
"B2X-B","B2","1","O","B",11.56,28.32,18.54,23.43
"B2X-C","B2","1","O","B",10.39,26.46,15.66,21.06
"B2X-D","B2","1","O","B",10.92,25.93,17.1,21.51
"B1-A","B1","0","O50","B",14.67,33.03,21.17,27.1
"B1-B","B1","0","O50","B",14.53,27.31,21.33,24.32
"B1-C","B1","0","O50","B",12.09,22.75,16.57,19.66
"B1-D","B1","0","O50","B",11.52,15.53,16.42,15.97
"B1X-A","B1","1","O50","B",12.73,26.4,18.54,22.47
"B1X-D","B1","1","O50","B",13.26,21.65,18.98,20.32
"B1X-C","B1","1","O50","B",15.94,27.29,22.06,24.67
"B1X-B","B1","1","O50","B",11.52,22.08,16.92,19.5
