image.file                  ,User Field 2                  ,% Sky Area    ,% Mask Area   ,% Cnpy Open   ,% Site Open   ,LAI 4Ring     ,LAI 5Ring     ,Units         ,Extra         ,Abv Dir       ,Abv Dif       ,Abv Tot       ,Abv Dir Msk   ,Abv Dif Msk   ,Abv Tot Msk   ,Trans Dir     ,Trans Dif     ,Trans Tot     ,% Trans Dir   ,% Trans Dif   ,% Trans Tot   ,Date          ,Time          
4865,bt                            ,99.9,0.1,15.25,15.25,2.62,2.24,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.67,5.12,8.79,17.46,24.34,20.9,Oct 14 2021   ,9:13:39 AM
4866,BT                            ,99.85,0.15,23.33,23.33,1.54,1.43,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,10.35,6.63,16.99,49.24,31.57,40.41,Oct 14 2021   ,9:16:46 AM
4867,bt                            ,99.87,0.13,16.36,16.36,2.21,2.07,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.51,5.5,12.02,30.98,26.18,28.58,Oct 14 2021   ,9:25:17 AM
4868,bt                            ,99.84,0.16,28.06,28.06,1.38,1.28,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,8.45,7,15.45,40.18,33.31,36.74,Oct 14 2021   ,9:27:03 AM
4869,bt                            ,99.85,0.15,17.27,17.27,2.04,2.01,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,10.19,5.67,15.86,48.46,26.97,37.72,Oct 14 2021   ,9:30:05 AM
4870,bt                            ,99.88,0.12,20.79,20.79,1.59,1.7,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,11.12,6.34,17.46,52.89,30.17,41.53,Oct 14 2021   ,9:31:39 AM
4871,bt                            ,99.81,0.19,18.96,18.96,1.75,1.75,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,9.31,5.8,15.11,44.29,27.58,35.94,Oct 14 2021   ,9:34:10 AM
4872,bt                            ,99.83,0.17,15.98,15.98,2.27,2.21,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,9.21,5.34,14.55,43.81,25.39,34.6,Oct 14 2021   ,9:35:42 AM
4875,bt                            ,99.84,0.16,16.99,16.99,1.72,1.85,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.7,4.97,11.67,31.88,23.64,27.76,Oct 14 2021   ,9:37:43 AM
4876,bt                            ,99.83,0.17,15.82,15.82,2.05,2.08,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,8.59,5.21,13.8,40.87,24.78,32.83,Oct 14 2021   ,9:40:20 AM
4877,bt                            ,99.88,0.12,13.86,13.86,2.43,2.79,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.84,4.9,11.74,32.52,23.33,27.92,Oct 14 2021   ,9:42:04 AM
4878,bt                            ,99.9,0.1,10.17,10.17,2.45,2.53,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.68,3.25,7.94,22.27,15.48,18.88,Oct 14 2021   ,9:43:34 AM
4879,bt                            ,99.88,0.12,13.07,13.07,2.23,2.26,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.12,4.24,9.36,24.37,20.15,22.26,Oct 14 2021   ,9:45:26 AM
4880,bt                            ,99.86,0.14,11.96,11.96,2.36,2.38,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.8,3.89,10.7,32.37,18.51,25.44,Oct 14 2021   ,9:46:54 AM
4881,bt                            ,99.86,0.14,13.33,13.33,2.13,2.19,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,7.66,4.25,11.91,36.42,20.24,28.33,Oct 14 2021   ,9:48:29 AM
4882,bt                            ,99.9,0.1,12.65,12.65,2.24,2.38,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.17,4.13,10.3,29.35,19.65,24.5,Oct 14 2021   ,9:49:40 AM
4884,bt                            ,99.87,0.13,11.88,11.88,2.25,2.46,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.55,3.88,10.43,31.13,18.47,24.8,Oct 14 2021   ,9:52:54 AM
4885,bt                            ,99.86,0.14,12.89,12.89,2.31,2.45,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.82,4.36,9.19,22.95,20.76,21.85,Oct 14 2021   ,9:54:25 AM
4886,bt                            ,99.89,0.11,12.79,12.79,2.07,2.14,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.66,3.78,9.44,26.94,17.98,22.46,Oct 14 2021   ,9:56:19 AM
4887,bt                            ,99.84,0.16,11.48,11.48,2.37,2.41,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.22,3.64,8.86,24.85,17.31,21.08,Oct 14 2021   ,10:00:56 AM
4888,bt                            ,99.89,0.11,10.69,10.69,2.82,2.53,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.7,3.51,9.21,27.09,16.72,21.91,Oct 14 2021   ,10:02:20 AM
4889,bt                            ,99.85,0.15,9.13,9.13,3.02,2.72,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.34,3.02,9.36,30.17,14.36,22.27,Oct 14 2021   ,10:04:28 AM
4890,bt                            ,99.82,0.18,10.96,10.96,2.68,2.66,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.18,3.7,8.88,24.62,17.61,21.11,Oct 14 2021   ,10:05:42 AM
4891,bt                            ,99.84,0.16,11.91,11.91,2.47,2.56,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.35,3.94,9.29,25.43,18.74,22.09,Oct 14 2021   ,10:07:08 AM
